,Date Produced,Title,Claims
553,2022-09-20,Inhibitors of histone deacetylase,"['1. A compound of formula Ia1, Ia2, Ia3, Ia4, Ia5, Ia6, Ib, or Ic:', None, 'wherein:\n', 'or a pharmaceutically acceptable salt or ester thereof.', '2. The compound of ', '3. The compound of ', '4. The compound of ', '5. The compound of ', '6. The compound of ', '7. The compound of ', '8. The compound of ', '9. The compound of ', '10. The compound of ', '11. A pharmaceutical composition comprising a compound of ', '12. A method of treating a hematological cell proliferative disorder in a subject, comprising administering to the subject an effective amount of a compound of ', None, '13. The method of ', '14. The method of ', '15. The method of ', '16. The method of ', '17. The method of ', '18. The compound of ', '19. A pharmaceutical composition comprising a compound of ', '20. A method of treating a hematological cell proliferative disorder in a subject, comprising administering to the subject an effective amount of a compound of ', None, '21. A compound selected from the group consisting of', None, 'or a pharmaceutically acceptable salt or ester, solvate, or prodrug thereof.', '22. The compound of ', None, 'or a pharmaceutically acceptable salt thereof.']"
554,2022-09-20,"Lithography system and method for processing a target, such as a wafer","['1. A method for operating a target processing system for processing a target on a chuck, the method comprising:\n', '2. The method of ', '3. The method of ', '4. The method of ', '5. The method of ', '6. The method of ', '7. The method of ', '8. A target processing system for processing a target on a chuck, the system comprising:\n', 'wherein said target processing system is configured to initialize said differential interferometers by:\n', 'wherein the position where the first and second chuck position marks are aligned with the first and second alignment sensors, respectively, and the reference surface on the chuck coincides with the level sensor plane is referred to as a first position of the chuck,\n', '9. The system of ', '10. The system of ', '11. The system of ', '12. The system of ', '13. The system of ', '14. A target processing system for processing a target on a chuck, the system comprising:\n', '15. The target processing system according to ', '16. The target processing system according to ', '17. The system of ', '18. A target processing system for processing a target on a chuck, the system comprising:\n', '19. A target processing system for processing a target on a chuck, the system comprising:\n', '20. The target processing system according to claim 19, wherein the plurality of level sensors are provided on a bottom surface of the projection system.', '21. The target processing system according to claim 19, wherein the at least two interferometers are configured to measure the position of the chuck in at least two different respective directions in a plane across the charged particle beams.', '22. The target processing system according to claim 19, further comprising a vacuum chamber comprising the projection system, the chuck, the actuator system, the alignment sensing system, the level sensing system, the chuck position measurement system, and the beam measurement unit.', '23. The target processing system according to claim 19, wherein the beam measurement unit includes a beam measurement sensor comprising chuck position marks.', '24. The target processing system according to claim 19, wherein the beam measurement unit includes a beam measurement sensor comprising a two-dimensional pattern of charged particle beam blocking structures.', '25. The target processing system according to claim 23, wherein the beam measurement sensor comprises a two-dimensional pattern of charged particle beam blocking structures, the pattern having a pre-determined spatial relationship with the chuck position marks.', '26. The target processing system according to claim 23, wherein the chuck position marks are arranged in at least two different directions.', '27. The target processing system according to claim 26, wherein the chuck position marks are configured as gratings.']"
555,2022-09-20,"Mobile terminal device, and method and computer readable medium for the same","['1. A mobile terminal device comprising:\n', '2. The mobile terminal device according to ', '3. The mobile terminal device according to ', '4. The mobile terminal device according to ', '5. The mobile terminal device according to ', '6. The mobile terminal device according to ', '7. The mobile terminal device according to ', '8. The mobile terminal device according to ', '9. The mobile terminal device according to ', '10. The mobile terminal device according to ', '11. A method configured to be implemented on a processor connected with a display unit and a near field wireless communication unit, the method comprising:\n', '12. A non-transitory computer readable medium storing computer readable instructions configured to, when executed by a processor connected with a display unit and a near field wireless communication unit, cause the processor to:\n', '13. The non-transitory computer readable medium according to ', '14. The non-transitory computer readable medium according to ', '15. The non-transitory computer readable medium according to ', '16. The non-transitory computer readable medium according to ', '17. The non-transitory computer readable medium according to ', '18. A non-transitory computer-readable medium storing computer-readable instructions that are executable by a processor connected with a mobile terminal device comprising a display and a near field wireless communication interface, the instructions being configured to, when executed by the processor, cause the processor to:\n', '19. The non-transitory computer-readable medium according to claim 18, wherein the instructions are further configured to, when executed by the processor, cause the processor to:\n', '20. The non-transitory computer-readable medium according to claim 18, wherein the instructions are further configured to, when executed by the processor, cause the processor to:\n', '21. A mobile terminal device comprising:\n', '22. The mobile terminal device according to claim 21, wherein the processor is further configured to:\n', '23. The mobile terminal device according to claim 21, wherein the processor is further configured to:\n', '24. A method implementable on a processor connected with a mobile terminal device comprising a display and a near field wireless communication interface, the method comprising:\n', '25. The method according to claim 24, further comprising:\n', '26. The method according to claim 24, further comprising:\n']"
556,2022-09-20,Data processing device and data processing method,"['1. A data processing method comprising:\n', '2. A data processing receiving method, the receiving method comprising:\n', '3. A data processing method comprising:\n', '4. A data processing method comprising:\n', '5. A data processing method comprising:\n', '6. A data processing method comprising:\n', '7. The receiving method according to claim 2, wherein the LDPC code word is encoded based on a parity check matrix of the LDPC code. ', '8. The receiving method according to claim 7, wherein\n', '9. The receiving method according to claim 8, wherein the parity check matrix further comprises:\n', '10. The receiving method according to claim 9, wherein the parity check matrix further comprises\n', '11. The receiving method according to claim 9, wherein\n', '12. The receiving method according to claim 11, wherein\n', '13. A receiving device, the receiving device comprising:\n', '14. The receiving device according to claim 13, wherein the LDPC code word is encoded based on a parity check matrix of the LDPC code. ', '15. The receiving device according to claim 14, wherein\n', '16. The receiving device according to claim 15, wherein the parity check matrix further comprises:\n', '17. The receiving device according to claim 16, wherein the parity check matrix further comprises\n', '18. The receiving device according to claim 16, wherein\n', '19. The receiving device according to claim 18, wherein\n', '20. The receiving device according to claim 13, wherein the receiving device includes a display and a speaker. ']"
557,2022-09-20,Communication apparatus and communication system,"['1. A communication apparatus, comprising:\n', '2. The communication apparatus according to ', '3. The communication apparatus according to ', '4. A communication method, comprising:\n', '5. A transmission method performed by a communication apparatus, the transmission method comprising:\n', '6. A communication apparatus comprising:\n', '7. A reception method performed by a communication apparatus, the reception method comprising:\n', '8. A communication apparatus comprising:\n']"
558,2022-09-21,Mobile terminal having two cameras and method for storing images taken by two cameras,"['1. A mobile terminal, comprising:\n', '2. The mobile terminal of ', '3. The mobile terminal of ', '4. The mobile terminal of ', '5. The mobile terminal of ', '6. The mobile terminal of ', '7. A method for controlling a mobile terminal comprising a touch screen, a first camera having a first capturing angle, and a second camera having a second capturing angle that is wider than the first capturing angle, the method comprising:\n', '8. The method of ', '9. The method of ', '10. The method of ', '11. The method of ', '12. The method of ', '13. A mobile terminal, comprising:\n', '14. The mobile terminal of claim 13, wherein the distance condition is a minimum distance related condition.', '15. The mobile terminal of claim 14, wherein the distance condition is satisfied when the distance related value indicates that a distance between the mobile terminal and the main subject is greater than a prescribed distance.', '16. The mobile terminal of claim 15, wherein the controller is further configured to:\n', '17. The mobile terminal of claim 16, wherein the controller is further configured to:\n', '18. The mobile terminal of claim 16, wherein the synthesized image is generated by overlapping the first image and the second image such that an object in the first image coincides with the same object in the second image.', '19. The mobile terminal of claim 16, wherein the controller is further configured to:\n', '20. A method for controlling a mobile terminal comprising a touch screen, a first camera having a first capturing angle, and a second camera having a second capturing angle that is wider than the first capturing angle, wherein the first camera and the second camera are located on one side of the mobile terminal, the method comprising:\n', '21. The method of claim 20, wherein the distance condition is a minimum distance related condition.', '22. The method of claim 21, wherein the distance condition is satisfied when the distance related value indicates that a distance between the mobile terminal and the main subject is greater than a prescribed distance.', '23. The method of claim 22, further comprising:\n', '24. The method of claim 23, further comprising:\n', '25. The method of claim 23, wherein the synthesized image is generated by overlapping the first image and the second image such that an object in the first image coincides with the same object in the second image.', '26. The method of claim 23, further comprising:\n']"
559,2022-09-20,LED illumination device and method for accurately controlling the intensity and color point of the illumination device over time,"['1. A method for controlling an illumination device comprising a plurality of emission light emitting diodes (LEDs) and a photodetector, wherein the method comprises:\n', '2. The method as recited in ', '3. The method as recited in ', '4. The method as recited in ', '5. The method as recited in ', '6. The method as recited in ', '7. The method as recited in claim ', '8. The method as recited in ', '9. The method as recited in ', '10. The method as recited in ', '11. The method as recited in ', '12. The method as recited in ', '13. The method as recited in ', '14. The method as recited in ', '15. The method as recited in ', '16. An illumination device, comprising:\n', '17. The illumination device as recited in ', '18. The illumination device as recited in ', '19. The illumination device as recited in ', '20. The illumination device as recited in ', '21. The illumination device as recited in ', '22. The illumination device as recited in claim ', '23. The illumination device as recited in ', '24. The illumination device as recited in ', '25. The illumination device as recited in ', '26. The illumination device as recited in ', '27. The illumination device as recited in ', '28. The illumination device as recited in ', '29. The illumination device as recited in ', '30. The illumination device as recited in ', '31. The illumination device as recited in ', '32. A method for controlling an illumination device comprising a plurality of emission light emitting diodes (LEDs) and a photodetector, wherein the method comprises:\n', '33. The method as recited in claim 32, wherein for each emission LED, the method further comprises:\n']"
560,2022-09-21,Combination digging device and head rest,"['1. An apparatus, comprising:\n', '2. The apparatus of ', '3. The apparatus of ', '4. The apparatus of ', '5. The apparatus of ', '6. The apparatus of ', '7. The apparatus of ', '8. A multi-use digging tool and rest, comprising:\n', '9. The tool of ', '10. The tool of ', '11. The tool of ', '12. The tool of ', '13. A method of creating a rest, comprising:\n', '14. The method of ', '15. The method of ', '16. The method of ', '17. The method of ', '18. The method of ', '19. The method of ']"
561,2022-09-21,Tillage implement with gauge wheels having hydraulic down-pressure,"['1. A tillage implement, comprising:\n', '2. The tillage implement of ', '3. The tillage implement of ', '4. The tillage implement of ', '5. The tillage implement of ', '6. The tillage implement of ', '7. The tillage implement of ', '8. The tillage implement of ', '9. A system comprising a vehicle towing the tillage implement of ', '10. A tillage implement, comprising:\n', '11. The tillage implement of ', '12. The tillage implement of ', '13. The tillage implement of ', '14. The tillage implement of ', '15. The tillage implement of ', '16. The tillage implement of ', '17. The tillage implement of ', '18. The tillage implement of ', '19. The tillage implement of ', '20. The tillage implement of ']"
562,2022-09-21,Multi-product sensing system for a common conduit of an agricultural product distribution system,"['1. An air cart for use in an agricultural air seeding system, comprising:\n', '2. The air cart of ', '3. The air cart of ', '4. The air cart of ', '5. The air cart of ', '6. The air cart of ', '7. The air cart of ', '8. The air cart of ', '9. The air cart of ', '10. The air cart of ', '11. The air cart of ', '12. A multi-product particle flow rate sensing system for an air cart, comprising:\n', '13. The multi-product particle flow rate sensing system of ', '14. The multi-product particle flow rate sensing system of ', '15. The multi-product particle flow rate sensing system of ', '16. The multi-product particle flow rate sensing system of ', '17. The multi-product particle flow rate sensing system of ', '18. A method for multi-product particle flow rate sensing for an air cart, comprising:\n', '19. The method of ', '20. The method of ']"
563,2022-09-21,Purging system for multiple variety seed meter,"['1. A purging system for a multiple variety seed meter for planting multiple seed varieties in a single planting pass during row-crop planting of an agricultural field, wherein the multiple seed varieties are stored in multiple seed storage compartments on a planter, the purging system comprising:\n', '2. The purging system of ', '3. A multiple variety planter for planting multiple seed varieties in a single planting pass during row-crop planting of an agricultural field, the planter comprising:\n']"
564,2022-09-21,Monitoring system and monitoring method for seeder,"['1. A monitoring system for a planter, said system comprising a computer, a drive motor, a unit speed fusion module, a seeding flow rate monitoring module, a decision module for theoretical rotation speed of the drive motor, a rotation speed deviation inference module, a control parameter tuning module, an adjusting module for adjusting rotation speed of seeding shaft, and a control module for controlling rotation speed of seeding shaft;\n', '\n', '\n', '\n', '\n', 'wherein the adjusting module for rotation speed of seeding shaft is connected with the controlling module for controlling rotation speed of seeding shaft, through which the input adjusting rotation speed n', 'and the driving motor controller is connected with the controlling module for controlling rotation speed of seeding shaft to control the rotation speed of the driving motor by the pulse signal with the frequency of P', '2. The monitoring system for planter according to ', '3. The monitoring system for planter according to ', '4. The monitoring system for planter according to ', '5. The monitoring system for planter according to ', '6. A monitoring method for a planter, which method comprises the following steps:\n', '\n', '\n', '\n', '\n']"
565,2022-09-21,Metering device with removable metering assembly,"['1. A metering device for dispensing agricultural product from a bin, wherein said metering device comprises:\n', '2. The metering device of ', '3. The metering device of ', '4. The metering device of ', '5. The metering device ', '6. The metering device ', '7. The metering device ', '8. The metering device of ', '9. The metering device of ', '10. The metering device of ', '11. The metering device of ', '12. An implement for dispensing agricultural product, said implement comprising:\n', '13. The implement of ', '14. The implement of ', '15. The implement of ', '16. The implement of ', '17. The implement of ', '18. A method of dispensing agricultural product from an implement, said method comprising the steps of:\n', '19. The method of ']"
566,2022-09-21,Opposite belt-type precise seeding device,"['1. An opposite belt-type precise seeding device, comprising a seed metering tube consisting of a U-shaped shell and a cover plate, wherein:\n', '2. The opposite belt-type precise seeding device according to ', '3. The opposite belt-type precise seeding device according to ', '4. The opposite belt-type precise seeding device according to ', '5. The opposite belt-type precise seeding device according to ', '6. The opposite belt-type precise seeding device according to ', '7. The opposite belt-type precise seeding device according to ', '8. The opposite belt-type precise seeding device according to ', '9. The opposite belt-type precise seeding device according to ', '10. The opposite belt-type precise seeding device according to ', '11. The opposite belt-type precise seeding device according to ']"
567,2022-09-21,Controller for a harvester,"['1. A control system for a harvester, the control system comprising:\n', '2. The control system of ', '3. The control system of ', '4. The control system of ', '5. The control system of ', '6. The control system of ', '7. The control system of ', '8. The control system of ', '9. A control system for a harvester, the control system comprising:\n', '10. The control system of ', '11. The control system of ', '12. The control system of ', '13. The control system of ', '14. The control system of ', '15. A method for controlling a harvester, the method comprising:\n', '16. The method of ', '17. The method of ', '18. The method of ', '19. The method of ', '20. The method of ']"
568,2022-09-21,Lawn mower robot and method for controlling the same,"['1. A lawn mower robot comprising:\n', '2. The lawn mower robot of ', '3. The lawn mower robot of ', '4. The lawn mower robot of ', '5. A method for controlling a lawn mower robot, the method comprising:\n', '6. The method of ', '7. The method of ', '8. The method of ', '9. The method of ', '10. The method of ', '11. The method of ']"
569,2022-09-20,Automatic sensitivity adjustment for an autonomous mower,"['1. An autonomous mower, comprising:\n', '2. The autonomous mower of ', '3. The autonomous mower of ', '4. The autonomous mower of ', '5. The autonomous mower of ', '6. The autonomous mower of ', '7. The autonomous mower of ', '8. The autonomous mower of ', '9. The autonomous mower of ', '10. An autonomous mower, comprising:\n', '11. The autonomous mower of ', '12. The autonomous mower of ', '13. The autonomous mower of ', '14. The autonomous mower of ', '15. The autonomous mower of ', '16. The autonomous mower of ', '17. The autonomous mower of ', '18. The autonomous mower of ']"
570,2022-09-20,Reversible line blades,"['1. A reversible line blade for a rotating trimmer, the reversible line blade comprising:\n', '2. A reversible line blade according to ', '3. A reversible line blade according to ', '4. A reversible line blade according to ', '5. A reversible line blade according to ', '6. A reversible line blade according to ', '7. A reversible line blade according to ', '8. A reversible line blade according to ', '9. A reversible line blade according to ', '10. A reversible line blade according to ', '11. A reversible line blade according to ', '12. A reversible line blade according to ', '13. A reversible line blade for a rotating trimmer, the reversible line blade comprising:\n', '14. A reversible line blade according to ', '15. A reversible line blade according to ', '16. A reversible line blade according to ', '17. A reversible line blade according to ', '18. A reversible line blade for a rotating trimmer, the reversible line blade comprising:\n']"
571,2022-09-21,"Propulsion control system for a walk-behind self-propelled machine, a lawnmower, and method for controlling a lawnmower","['1. A propulsion control system for a walk-behind self-propelled machine including a drive transmission and at least one wheel selectively driven by the drive transmission, the system comprising:\n', '2. The propulsion control system according to ', '3. The propulsion control system according to ', '4. The propulsion control system according to ', '5. The propulsion control system according to ', '6. The propulsion control system according to ', '7. The propulsion control system according to ', '8. The propulsion control system according to ', '9. The propulsion control system according to ', '10. A lawnmower comprising:\n', '11. The lawnmower according to ', '12. The lawnmower according to ', '13. The lawnmower according to ', '14. The lawnmower according to ', '15. The lawnmower according to ', '16. A lawnmower comprising:\n', '17. The lawnmower according to ', '18. The lawnmower according to ', '19. A method for controlling a ground speed of the lawnmower according to ', '20. The method according to ']"
572,2022-09-20,High-efficiency cutting system,"['1. A cutting system comprising:\n', '2. The cutting system of ', '3. The cutting system of ', '4. The cutting system of ', '5. The cutting system of ', '6. The cutting system of ', '7. The cutting system of ', '8. The cutting system of ', '9. The cutting system of ', '10. The cutting system of ', '11. A cutting system comprising:\n', '12. The cutting system of ', '13. The cutting system of ', '14. The cutting system of ', '15. The cutting system of ', '16. The cutting system of ', '17. The cutting system of ', '18. The cutting system of ', '19. The cutting system of ', '20. The cutting system of ']"
573,2022-09-21,Walk power mower with slidable handle grip movable along a curved path for controlling a variable speed traction drive,"['1. A walk power mower, which comprises:\n', '2. The mower of ', '3. The mower of ', '4. The mower of ', '5. The mower of ', '6. The mower of ', '7. The mower of ', '8. The mower of ', '9. The mower of ', '10. The mower of ', '11. The mower of ', '12. The mower of ', '13. The mower of ', '14. A walk power mower, which comprises:\n', '15. The mower of ', '16. The mower of ', '17. The mower of ', '18. The mower of ', '19. The mower of ', '20. The mower of ', '21. A walk power mower, which comprises:\n']"
574,2022-09-21,Agricultural harvesting machine,"['1. An agricultural harvesting machine comprising:\n', '2. The harvesting machine according to ', '3. The harvesting machine according to ', '4. The harvesting machine according to ', '5. The harvesting machine according to ', '6. The harvesting machine according to ', '7. The harvesting machine according to ', '8. The harvesting machine according to ', '9. The harvesting machine according to ', '10. The harvesting machine according to ', '11. The harvesting machine according to ']"
575,2022-09-21,Road travel system for an agricultural vehicle,"['1. An agricultural vehicle comprising:\n', '2. The agricultural vehicle of ', '3. The agricultural vehicle of ', '4. The agricultural vehicle of ', '5. The agricultural vehicle of ', '6. The agricultural vehicle of ', '7. The agricultural vehicle of ', '8. The agricultural vehicle of ', '9. The agricultural vehicle of ', '10. The agricultural vehicle of ', '11. The agricultural vehicle of ', '12. The agricultural vehicle of ', '13. The agricultural vehicle of ', '14. The agricultural vehicle of ', '15. The agricultural vehicle of ', '16. The agricultural vehicle of ', '17. The agricultural vehicle of ', '18. The agricultural vehicle of ', '19. The agricultural vehicle of ']"
576,2022-09-21,Automated vegetation removal,"['1. An automated vegetation removal method comprising:\n', '2. The method of ', '3. The method of ', '4. The method of ', '5. A computer program product, comprising a computer readable hardware storage device storing a computer readable program code, said computer readable program code comprising an algorithm that when executed by a processor of a control vehicle implements automated vegetation removal method, said method comprising:\n', '6. The computer program product of ', '7. The computer program product of ', '8. The computer program product of ', '9. A control vehicle comprising a processor coupled to a computer-readable memory unit, said memory unit comprising instructions that when executed by the processor executes automated vegetation removal method comprising:\n']"
577,2022-09-20,Combine harvester concave threshing bar,"['1. A concave threshing bar, comprising:\n', '2. The threshing bar of ', '3. The threshing bar of ', '4. The threshing bar of ', '5. A concave threshing bar, comprising:\n', '6. The concave threshing bars of ', '7. The threshing bar of ', '8. The threshing bar of ', '9. The threshing bar of ', '10. A concave threshing bar, comprising:\n', '11. The concave threshing bars of ', '12. The threshing bar of ', '13. The threshing bar of ']"
578,2022-09-21,Over-center locking system for a chaff pan of an agricultural harvester,"['1. A grain cleaning system for receiving grain and residual crop material from a threshing system in an agricultural harvester, the grain cleaning system comprising:\n', '2. The grain cleaning system of ', '3. The grain cleaning system of ', '4. The grain cleaning system of ', '5. The grain cleaning system of ', '6. The grain cleaning system of ', '7. The grain cleaning system of ', '8. The grain cleaning system of ', '9. The grain cleaning system of ', '10. The grain cleaning system of ', '11. The grain cleaning system of ', '12. The grain cleaning system of ', '13. The grain cleaning system of ', '14. The grain cleaning system of ', '15. The grain cleaning system of ']"
579,2022-09-21,Gardening trimmer,"['1. A gardening trimmer, comprising:\n', '2. The gardening trimmer according to ', '3. The gardening trimmer according to ', '4. The gardening trimmer according to ', '5. The gardening trimmer according to ', '6. The gardening trimmer according to ', '7. The gardening trimmer according to ', '8. The gardening trimmer according to ', '9. The gardening trimmer according to ', '10. The gardening trimmer according to ', '11. The gardening trimmer according to ', '12. The gardening trimmer according to ', '13. The gardening trimmer according to ', '14. The gardening trimmer according to ', '15. The gardening trimmer according to ', '16. The gardening trimmer according to ']"
580,2022-09-21,Horticultural smudging system and method,"['1. A horticultural smudging system to combust materials continuously during a selected period of time so that flue gas output therefrom passes to contact plants thereby to enhance plant growth and production, the system comprising:\n', '2. The horticultural smudging system of ', '3. The horticultural smudging system of ', '4. The horticultural smudging system of ', '5. The horticultural smudging system of ', '6. A horticultural smudging system to combust materials continuously during a selected period of time so that flue gas output therefrom passes to contact plants thereby to enhance plant growth and production, the system comprising:\n', '7. The horticultural smudging system of ', '8. The horticultural smudging system of ', '9. The horticultural smudging system of ', '10. The horticultural smudging system of ', '11. The horticultural smudging system of ', '12. The horticultural smudging system of ', '13. A method of combusting materials continuously during a selected period of time so that flue gas output therefrom passes to contact plants for the purposes of horticultural smudging thereby to enhance plant growth and production, the method comprising:\n', '14. The method of ', '15. The method of ', '16. The method of ', '17. The method of ', '18. The method of ']"
581,2022-09-20,Horticultural system with closed-loop light control,"['1. A horticultural system comprising:\n', '2. The system of ', '3. The system of ', '4. The system of ', '5. The system of ', '6. The system of ', '7. The system of ', '8. The system of ', '9. The system of ', '10. The system of ', '11. A method associated with operating a horticultural system, the method comprising:\n', '12. The method of ', '13. The method of ', '14. The method of ']"
582,2022-09-20,Disassemblable planter box,"['1. A disassemblable planter box comprising:\n', '2. The disassemblable planter box of ', '3. The disassemblable planter box of ', '4. The disassemblable planter box of ', '5. The disassemblable planter box of ', '6. The disassemblable planter box of ', '7. The disassemblable planter box of ', '8. The disassemblable planter box of ', '9. The disassemblable planter box of ', '10. The disassemblable planter box of ', '11. The disassemblable planter box of ', '12. A disassemblable planter box comprising:\n', '13. The disassemblable planter box of ', '14. A disassemblable planter box comprising:\n']"
583,2022-09-21,"Protective cover system for protecting fruits, vegetables and other produce","['1. A protective cover system for protecting one or more produce items, comprising:\n', '2. The protective cover system of ', '3. The protective cover system of ', '4. The protective cover system of ', '5. The protective cover system of ', '6. The protective cover system of ', '7. The protective cover system of ', '8. The protective cover system of ', '9. The protective cover system of ', '10. The protective cover system of ', '11. The protective cover system of ', '12. The protective cover system of ', '13. The protective cover system of ', '14. The protective cover system of ', '15. The protective cover system of ', '16. The protective cover system of ', '17. A protective cover system for protecting one or more produce items, comprising:\n', '18. The protective cover system of ', '19. A protective cover system for protecting one or more produce items, comprising:\n', '20. The protective cover system of ', '21. The protective cover system of ']"
584,2022-09-21,Geotextile-based structure for vegetative growth enhancement and erosion resistance,"['1. A geotextile-based structure for soil stabilization comprising at least one cage comprising (a) a geotextile fabric lining on an interior of at least a first generally planar section of the at least one cage and (b) a geotextile mat cover directly attached to the at least one cage and comprising at least four sides and capable of supporting live vegetation secured to an exterior surface, consisting of a second generally planar section of the at least one cage and three sides of the geotextile mat cover attached to said cage to form a pocket between the geotextile mat cover and the second generally planar section of the at least one cage.', '2. The geotextile-based structure of ', '3. The geotextile-based structure of ', '4. The geotextile-based structure of ', '5. The geotextile-based structure of ', '6. The geotextile-based structure of ', '7. The geotextile-based structure of ', '8. The geotextile-based structure of ', '9. The geotextile-based structure of ', '10. The geotextile-based structure of ', '11. The geotextile-based structure of ', '12. The geotextile-based structure of ', '13. The geotextile-based structure of ', '14. The geotextile-based structure of ', '15. The geotextile-based structure of ', '16. The geotextile-based structure of ', '17. The geotextile-based structure of ', '18. The geotextile-based structure of ', '19. The geotextile-based structure of ', '20. The geotextile-based structure of ', '21. The geotextile-based structure of ', '22. The geotextile-based structure of ', '23. The geotextile-based structure of ', '24. The geotextile-based structure of ', '25. The geotextile-based structure of ', '26. The geotextile-based structure of ', '27. A structure comprising multiple cages comprising (a) a geotextile fabric on at least a first planar section of at least one of the multiple cages and (b) a geotextile mat cover having at least three sides and directly attached and secured on the at least three sides of the geotextile mat cover to a second planar section of the at least one of the multiple cages to form a pocket between and consisting of the geotextile mat cover and the second planar section of the at least one of the multiple cages.', '28. The geotextile-based structure of ']"
585,2022-09-21,Image-based irrigation recommendations,"['1. A computer-implemented method providing improvements in agricultural science by optimizing irrigation treatment placements for testing, the method comprising:\n', '2. The method of ', '3. The method of ', '4. The method of ', '5. The method of ', '6. The method of ', '7. The method of ', '8. An irrigation treatment system for providing improvements in agricultural science by optimizing irrigation treatment placements for testing in a field comprising:\n', '9. The system of ', '10. The system of ', '11. The system of ', '12. The system of ', '13. The system of ', '14. The system of ']"
586,2022-09-21,Method for dynamically increasing plant root depth,"['1. A method for generating a dynamic watering plan that reduces water consumption requirements for vegetation comprising:\n', '2. The method of ', '3. The method of ', '4. The method of ', '5. The method of ', '6. The method of ', '7. The method of ', '8. The method of ', '9. The method of ', '10. A watering system for vegetation comprising:\n', '11. The watering system of ', '12. The watering system of ', '13. The watering system of ', '14. The watering system of ', '15. The watering system of ', '16. The watering system of ', '17. The watering system of ', '18. A system for generating a watering schedule for vegetation comprising:\n', '19. The watering system of ']"
587,2022-09-20,Systems providing irrigation optimization using sensor networks and soil moisture modeling,"['1. A system for providing irrigation water to a soil depth of a crop rootzone in a plurality of crop fields using a sensor network and soil moisture modeling, the system comprising:\n', 'θ(t): Soil moisture at time t [mm];', 'g(t): Infiltration at time t [mm];', 'F(t): Percolation at time t [mm/hour];', 'ET(t): Evapotranspiration at time t [mm/hour]; and', 'Δt: Difference of time step [hour];\n', '2. The system of ', '3. The system of ', '4. The system of ', '5. The system of ', '6. The system of ', '7. A method for providing irrigation water to a soil depth of a crop rootzone in a plurality of crop fields using a sensor network and soil moisture modeling, the method comprising:\n', 'θ(t): Soil moisture at time t [mm];', 'g(t): Infiltration at time t [mm];', 'F(t): Percolation at time t [mm/hour];', 'ET(t): Evapotranspiration at time t [mm/hour];', 'Δt: Difference of time step [hour];\n', '8. The method of ', '9. The method of ', '10. The method of ', '11. The method of ', '12. The method of ', '13. The method of ', '14. A non-transitory computer readable medium having embodied thereon instructions being executable by at least one processor to perform a method for providing irrigation water to a soil depth of a crop rootzone in a plurality of crop fields using a sensor network and soil moisture modeling, the method comprising:\n', 'θ(t): Soil moisture at time t [mm];', 'g(t): Infiltration at time t [mm];', 'F(t): Percolation at time t [mm/hour];', 'ET(t): Evapotranspiration at time t [mm/hour];', 'Δt: Difference of time step [hour];\n', '15. The non-transitory computer readable medium of ', '16. The non-transitory computer readable medium of ', '17. The non-transitory computer readable medium of ']"
588,2022-09-21,Vertical aeroponic plant growing enclosure,"['1. A grow panel enclosure comprises:\n', '2. The grow panel enclosure as claimed in ', '3. The grow panel enclosure as claimed in ', '4. The grow panel enclosure as claimed in ', '5. The grow panel enclosure as claimed in ', '6. The grow panel enclosure as claimed in ', '7. The grow panel enclosure as claimed in ', '8. A grow panel enclosure comprises:\n', '9. The grow panel enclosure as claimed in ', '10. The grow panel enclosure as claimed in ', '11. The grow panel enclosure as claimed in ', '12. The grow panel enclosure as claimed in ', '13. The grow panel enclosure as claimed in ', '14. The grow panel enclosure as claimed in ', '15. The grow panel enclosure as claimed in ', '16. The grow panel enclosure as claimed in ']"
589,2022-09-21,Hydroponic produce display apparatus,"['1. A method for in-store and market display of plants, the method comprising:\n', '2. The method of ', '3. The method of ', '4. The method of ', '5. The method of ', '6. The method of ', '7. The method of ']"
590,2022-09-21,"Method of inducing genetic recombination, and use therefor","['1. A method comprising:\n', '2. The method according to ', '3. The induction method according to ', '4. The induction method according to ', '5. The induction method according to ', '6. The induction method according to ', '7. The induction method according to ', '8. The induction method according to ', '9. The induction method according to ', '10. The induction method according to ', '11. The induction method according to ', '12. The induction method according to ', '13. A method comprising:\n', '14. The production method according to ', '15. A method comprising:\n', '16. The induction method according to ', '17. The induction method according to ', '18. The induction method according to ', '19. The induction method according to ']"
591,2022-09-20,Non-GM improved crops and methods for obtaining crops with improved inheritable traits,"['1. A method for producing a plant exhibiting improved traits compared to a control population of plants of the same plant species comprising the steps of:\n', '2. The method of ', '3. The method of ', '4. The method of ', '5. The method of ', '6. The method of ']"
